In TUB-IM01, validation EPE:0.5355435013771057, AE:0.23988574743270874, IE:32.97178268432617
In TUB-IM02, validation EPE:0.36959004402160645, AE:0.2217961996793747, IE:27.592267990112305
In TUB-IM03, validation EPE:0.43166518211364746, AE:0.25415921211242676, IE:32.64067840576172
In TUB-IM04, validation EPE:0.30441388487815857, AE:0.19083468616008759, IE:23.70604133605957
In TUB-IM05, validation EPE:1.7800774574279785, AE:0.6906346082687378, IE:48.85698318481445
In TUB-IM01_hDyn, validation EPE:4.025100231170654, AE:1.233678936958313, IE:41.97870635986328
In TUB-IM02_hDyn, validation EPE:3.7605676651000977, AE:1.2066632509231567, IE:41.45064926147461
In TUB-IM03_hDyn, validation EPE:4.099509239196777, AE:1.2303314208984375, IE:47.98546600341797
In TUB-IM04_hDyn, validation EPE:4.065730571746826, AE:1.2643098831176758, IE:36.346351623535156
In TUB-IM05_hDyn, validation EPE:6.644642353057861, AE:1.2346123456954956, IE:54.78697204589844
In TUB-IM02, validation EPE:0.1621841937303543, AE:0.06037940829992294, IE:25.347198486328125
In TUB-IM03, validation EPE:0.11413560807704926, AE:0.0747419223189354, IE:27.455379486083984
In TUB-IM04, validation EPE:0.1254039704799652, AE:0.04577266424894333, IE:20.424510955810547
In TUB-IM05, validation EPE:0.46949633955955505, AE:0.18761958181858063, IE:43.23418426513672
